,時限,教室,回生
0,月1,共西01,全回生
1,月1,4共30,全回生
2,月1,共北3B,主として１・２回生
3,月1,共北21(CALL),２回生以上
4,月1,情報メ地下講義室,全回生
5,月1,共西11,主として１回生
6,月1,共北31,主として１回生
7,月1,共西12,主として１・２回生
8,月1,共北27,主として１・２回生
9,月1,理学部2号館第1講義室,主として１・２回生
10,月1,共南11,主として２回生
11,月1,共東22(CALL),１回生
12,月1,4共24,１回生
13,月1,4共22,１回生
14,月1,共北24(CALL),１回生
15,月1,教育院棟演習室23,１回生
16,月1,1共23,１回生
17,月1,共北33,１回生
18,月1,共北3A,１回生
19,月1,共北11,１回生
20,月1,教育院棟演習室21,１回生
21,月1,共北3D,１回生
22,月1,1共04,１回生
23,月1,共西03,２回生以上
24,月1,共西22,２回生以上
25,月1,教育院棟演習室22,２回生以上
26,月2,共北32,全回生
27,月2,共西31,全回生
28,月2,4共11,全回生
29,月2,1共21,全回生
30,月2,1共03,全回生
31,月2,総人1102,全回生
32,月2,教育院棟講義室32,全回生
33,月2,4共21,全回生
34,月2,教育院棟講義室31,全回生
35,月2,共東42,全回生
36,月2,共西41,全回生
37,月2,4共30,全回生
38,月2,共北21(CALL),２回生以上
39,月2,共東22(CALL),２回生以上
40,月2・木1,1共02,主として１回生
41,月2・木1,共東41,主として１回生
42,月2・木2,1共02,主として１回生
43,月2・木2,共東41,主として１回生
44,月2・水3,共北28,主として１回生
45,月2・水3,共北38,主として１回生
46,月2・水3,共東32,主として１回生
47,月2・水4,共北28,主として１回生
48,月2・水4,共北38,主として１回生
49,月2・水4,共東32,主として１回生
50,月2・水4,共南01,主として１回生
51,月2・水3,共南01,主として１回生
52,月2・木1,1共32,主として１回生
53,月2・木1,共東31,主として１回生
54,月2・木2,1共32,主として１回生
55,月2・木2,共東31,主として１回生
56,月2・水3,共東21,主として１回生
57,月2・水4,共東21,主として１回生
58,月2,共北25,主として２回生
59,月2,4共13,主として１・２回生
60,月2,共南21,主として２回生
61,月2,共北36,主として１・２回生
62,月2,共西12,全回生
63,月2,4共20,主として２回生
64,月2,情報メ地下講義室,主として２回生
65,月2,4共12,主として１・２回生
66,月2,共北24(CALL),１回生
67,月2,4共24,１回生
68,月2,4共22,１回生
69,月2,共西23,１回生
70,月2,教育院棟演習室22,１回生
71,月2,教育院棟演習室21,１回生
72,月2,4共25,１回生
73,月2,教育院棟演習室24,１回生
74,月2,共北11,１回生
75,月2,4共33,１回生
76,月2,共北3D,１回生
77,月2,共西11,１回生
78,月2,1共22,１回生
79,月2,1共23,１回生
80,月2,共北33,１回生
81,月2,共北3A,１回生
82,月2,教育院棟演習室23,１回生
83,月2,4共40,１回生
84,月2,共西21,全回生
85,月2,共西02,全回生
86,月2,共西32,全回生
87,月2,共西42,全回生
88,月2,共西03,全回生
89,月2,4共32,全回生
90,月2,共西01,全回生
91,月2,共西22,２回生以上
92,月2,総人1305(CALL),２回生以上
93,月2,吉田国際交流会館南講義室4,全回生
94,月2,吉田国際交流会館南講義室5,全回生
95,月2,共北34,２回生以上
96,月2,共北3C,全回生
97,月3,4共11,全回生
98,月3,共北32,全回生
99,月3,共北37,全回生
100,月3,4共20,全回生
101,月3,4共12,全回生
102,月3,共東42,全回生
103,月3,共西31,全回生
104,月3,共南11,全回生
105,月3,共北26,全回生
106,月3,4共31,全回生
107,月3,4共21,全回生
108,月3,総合研究4号館2階共通3講義室,全回生
109,月3,共北3D,主として１・２回生
110,月3,共北3C,主として１・２回生
111,月3,共北38,全回生
112,月3,共西41,全回生
113,月3,1共21,全回生
114,月3,共北3B,主として１・２回生
115,月3,共南01,全回生
116,月3,共北24(CALL),２回生以上
117,月3,共東12,２回生以上
118,月3,教育院棟講義室32,主として２回生
119,月3・火1,1共31,主として１回生
120,月3・火2,1共31,主として１回生
121,月3・火1,共東41,主として１回生
122,月3・火1,共東31,主として１回生
123,月3・火2,共東41,主として１回生
124,月3・火2,共東31,主として１回生
125,月3・火1,1共02,主として１回生
126,月3・火2,1共02,主として１回生
127,月3・火1,共西32,主として１回生
128,月3・火2,共西32,主として１回生
129,月3・火2,4共41,主として１回生
130,月3・月4,物理学実験室(2共),主として１回生
131,月3,共北25,主として１・２回生
132,月3,共北27,主として２回生
133,月3・月4,化学実験室(2共),主として１回生
134,月3,共北36,全回生
135,月3,1共01,主として２回生
136,月3,総人1B05,主として１・２回生
137,月3・月4,生物学実習室１・２(2共),主として１・２回生
138,月3・月4,生物実習室２(2共),主として１・２回生
139,月3,総合研究8号館3階NSホール,主として２回生
140,月3,教育推進・学生支援部棟多目的ホール,全回生
141,月3,4共13,主として１・２回生
142,月3,共北33,１回生
143,月3,教育院棟演習室21,１回生
144,月3,4共25,１回生
145,月3,共北3A,１回生
146,月3,教育院棟演習室24,１回生
147,月3,4共24,１回生
148,月3,1共22,１回生
149,月3,1共23,１回生
150,月3,教育院棟演習室23,１回生
151,月3,4共33,１回生
152,月3,共北35,１回生
153,月3,1共04,１回生
154,月3,共北34,１回生
155,月3,4共23,１回生
156,月3,教育院棟演習室22,１回生
157,月3,共北12,１回生
158,月3,1共33,全回生
159,月3,4共10,全回生
160,月3,共西03,全回生
161,月3,共西42,全回生
162,月3,共北11,全回生
163,月3,共西23,全回生
164,月3,共西22,全回生
165,月3,共西11,全回生
166,月3,共北23(CALL),全回生
167,月3,情報メ302(CALL),全回生
168,月3,情報メ301(CALL),全回生
169,月3,共西02,全回生
170,月3,共西01,全回生
171,月3,共西12,２回生以上
172,月3,1共03,２回生以上
173,月3,共北28,２回生以上
174,月3・月4・金1・金2,月：第6講義室　金：第4講義室,全回生
175,月3,吉田国際交流会館南講義室4,全回生
176,月3・月4・火3・火4,吉田国際交流会館南講義室3,全回生
177,月3,共北31,全回生
178,月3,4共40,２回生以上
179,月4,共東41,２回生以上
180,月4,4共11,全回生
181,月4,共北3D,主として１・２回生
182,月4,共北3C,全回生
183,月4,共北25,主として１・２回生
184,月4,共東32,２回生以上
185,月4,1共32,２回生以上
186,月4,総合研究2号館2階法科第一教室,２回生以上
187,月4,共東21,主として１回生
188,月4,共南11,主として１回生
189,月4,1共31,主として１回生
190,月4,共北26,主として１回生
191,月4,共南01,主として１・２回生
192,月4,共北27,主として１・２回生
193,月4,4共23,１回生
194,月4,4共24,１回生
195,月4,共北35,１回生
196,月4,共北33,１回生
197,月4,教育院棟演習室24,１回生
198,月4,共北3A,１回生
199,月4,1共22,１回生
200,月4,共北34,１回生
201,月4,4共33,１回生
202,月4,共西03,全回生
203,月4,共西12,全回生
204,月4,共北36,全回生
205,月4,共北21(CALL),全回生
206,月4,共北28,全回生
207,月4,情報メ301(CALL),全回生
208,月4,共東22(CALL),全回生
209,月4,共西02,全回生
210,月4,4共12,２回生以上
211,月4,4共10,２回生以上
212,月4,共西04,２回生以上
213,月4,総人1305(CALL),２回生以上
214,月4,1共25(LL),２回生以上
215,月4,情報メ302(CALL),２回生以上
216,月4,共北23(CALL),２回生以上
217,月4・月5,総人1206,全回生
218,月4,4共40,２回生以上
219,月4,共北31,２回生以上
220,月4,薬学部教育棟2階23講義室,２回生以上
221,月5,4共30,全回生
222,月5,1共31,全回生
223,月5,吉田南総合館475演習室,全回生
224,月5,吉田南総合館東402演習室,全回生
225,月5,共南11,全回生
226,月5,共北26,全回生
227,月5,情報メ303(情報処理室),全回生
228,月5,4共11,全回生
229,月5,総人1207,全回生
230,月5,教育院棟講義室32,全回生
231,月5,共北34,全回生
232,月5,共北3A,全回生
233,月5,共東32,２回生以上
234,月5,文学部校舎第1講義室,２回生以上
235,月5,法経本館2階第八教室,２回生以上
236,月5,理学部6号館809号室,主として２回生
237,月5,共東31,主として２回生
238,月5,共東11,主として１・２回生
239,月5,共南01,主として１・２回生
240,月5,共北37,主として１・２回生
241,月5,共南21,全回生
242,月5,共北25,全回生
243,月5,情報メ203(情報処理室),全回生
244,月5,共北35,全回生
245,月5,共北21(CALL),全回生
246,月5,1共24(CALL),全回生
247,月5,教育院棟演習室24,１回生
248,月5,共西03,２回生以上
249,月5,総人1305(CALL),２回生以上
250,月5,吉田国際交流会館南講義室6,全回生
251,月5,情報メ201(遠隔講義室),全回生
252,月5,1共02,全回生
253,月5,共北31,２回生以上
254,月5,薬学部教育棟2階23講義室,２回生以上
255,火1,1共01,全回生
256,火1,4共20,２回生以上
257,火1・水2,1共02,主として１回生
258,火1・水2,共南21,主として１回生
259,火1・水2,共西32,主として１回生
260,火1・水2,1共31,主として１回生
261,火1・金1,共南21,主として１回生
262,火1・水2,共東41,主として１回生
263,火1・水2,共東31,主として１回生
264,火1,共北26,主として１回生
265,火1,共北27,主として１回生
266,火1,4共31,主として１回生
267,火1,情報メ地下講義室,主として１回生
268,火1,共南11,主として１回生
269,火1,共東22(CALL),１回生
270,火1,4共10,１回生
271,火1,共北34,１回生
272,火1,共北3D,１回生
273,火1,1共33,１回生
274,火1,4共22,１回生
275,火1,吉田国際交流会館南講義室4,全回生
276,火2,共北31,全回生
277,火2,共北26,全回生
278,火2,1共33,全回生
279,火2,共北25,全回生
280,火2,4共33,全回生
281,火2,教育院棟演習室22,主として１・２回生
282,火2,1共32,全回生
283,火2,共西31,全回生
284,火2,共西12,全回生
285,火2,共北37,全回生
286,火2,教育院棟講義室32,全回生
287,火2,共北27,全回生
288,火2,共東42,全回生
289,火2,4共23,全回生
290,火2,共北3A,主として１・２回生
291,火2,4共21,全回生
292,火2,4共12,主として１回生
293,火2,共西41,全回生
294,火2,文学部校舎第2講義室,２回生以上
295,火2,1共01,全回生
296,火2,共北32,主として２回生
297,火2,共西42,主として２回生
298,火2・水2,1共02,主として１回生
299,火2・水2,共南21,主として１回生
300,火2・水2,共西32,主として１回生
301,火2・水3,共東21,主として１回生
302,火2・水4,共東21,主として１回生
303,火2・水1,1共03,主として１回生
304,火2・水2,1共31,主として１回生
305,火2・金1,共南21,主として１回生
306,火2・水2,共東41,主として１回生
307,火2・水2,共東31,主として１回生
308,火2・水3,共北28,主として１回生
309,火2・水3,共北38,主として１回生
310,火2・水3,共東32,主として１回生
311,火2・水4,共北28,主として１回生
312,火2・水4,共北38,主として１回生
313,火2・水4,共東32,主として１回生
314,火2・水2,1共03,主として１回生
315,火2・水2,4共41,主として１回生
316,火2,共西02,主として２回生
317,火2,共南11,主として１・２回生
318,火2,4共11,主として１・２回生
319,火2,4共13,主として１・２回生
320,火2,4共14,主として１・２回生
321,火2,教育院棟演習室21,全回生
322,火2,共西22,１回生
323,火2,共北36,１回生
324,火2,共北3D,１回生
325,火2,4共22,１回生
326,火2,共北23(CALL),１回生
327,火2,共東22(CALL),１回生
328,火2,共北3C,１回生
329,火2,共北33,１回生
330,火2,共北34,１回生
331,火2,1共22,１回生
332,火2,4共32,全回生
333,火2,共西11,全回生
334,火2,共西23,全回生
335,火2,共西03,全回生
336,火2,共北35,全回生
337,火2,共東12,全回生
338,火2,共東11,全回生
339,火2,共西01,全回生
340,火2,共西21,２回生以上
341,火2,共北12,２回生以上
342,火2,吉田国際交流会館南講義室3,全回生
343,火2,吉田国際交流会館南講義室4,全回生
344,火2,4共24,全回生
345,火2,1共21,２回生以上
346,火2,1共25(LL),２回生以上
347,火3,共西11,全回生
348,火3,共北3A,全回生
349,火3,総人1B05,２回生以上
350,火3,共北27,全回生
351,火3,共北3C,主として１・２回生
352,火3,共北38,主として１・２回生
353,火3,総合館東南棟409,全回生
354,火3,共東32,２回生以上
355,火3,共東31,２回生以上
356,火3,文学部校舎第7講義室,２回生以上
357,火3,法経本館2階第八教室,２回生以上
358,火3・火4,共西41,主として１回生
359,火3・金1,共北26,主として１回生
360,火3・金2,共北26,主として１回生
361,火3・金1,共北37,主として１回生
362,火3・金2,共北37,主として１回生
363,火3・金1,共北32,主として１回生
364,火3・金1,共西31,主として１回生
365,火3・金2,共北32,主として１回生
366,火3・金2,共西31,主として１回生
367,火3・金1,共北25,主として１回生
368,火3・金2,共北25,主として１回生
369,火3,共北12,主として１回生
370,火3・火4,物理学実験室(2共),主として１回生
371,火3,総合研究4号館2階共通4講義室,主として１回生
372,火3,共南11,全回生
373,火3,共西22,主として１回生
374,火3・火4,化学実験室(2共),主として１回生
375,火3,1共32,主として１・２回生
376,火3,教育院棟講義室32,主として１・２回生
377,火3,4共13,主として１・２回生
378,火3,4共14,主として１・２回生
379,火3,共南01,全回生
380,火3,1共31,主として２回生以上
381,火3,医学部人間健康科学科第4講義室,１回生
382,火3,教育院棟演習室21,１回生
383,火3,教育院棟演習室24,１回生
384,火3,共北34,１回生
385,火3,共北35,１回生
386,火3,1共21,１回生
387,火3,1共22,１回生
388,火3,教育院棟演習室22,１回生
389,火3,共北3B,１回生
390,火3,1共02,全回生
391,火3,共西23,全回生
392,火3,共東21,全回生
393,火3,共北36,全回生
394,火3,共西02,全回生
395,火3,共東12,全回生
396,火3,1共03,全回生
397,火3,1共01,全回生
398,火3,共東11,全回生
399,火3,共西01,全回生
400,火3,共西21,全回生
401,火3,共北33,２回生以上
402,火3,総人1305(CALL),２回生以上
403,火3・火4・木2・木3,火：第4講義室　木：第3講義室,全回生
404,火3・火4・金3・金4,火：第5講義室　金：第3講義室,全回生
405,火3,吉田国際交流会館南講義室6,全回生
406,火3,情報メ203(情報処理室),全回生
407,火3,文学部校舎第3講義室,全回生
408,火4,教育院棟演習室23,主として１・２回生
409,火4,吉田南総合館南棟334,２回生以上
410,火4,1共03,全回生
411,火4,共北38,主として１・２回生
412,火4,1共32,全回生
413,火4,共東31,２回生以上
414,火4,共北24(CALL),２回生以上
415,火4,総合研究2号館2階法科第一教室,２回生以上
416,火4・木2,共北32,主として１回生
417,火4・木2,共北26,主として１回生
418,火4,4共21,主として２回生
419,火4,4共11,主として１回生
420,火4,4共31,主として１・２回生
421,火4,共南11,主として１・２回生
422,火4,理学部6号館301講義室,主として１・２回生
423,火4,理学部6号館202講義室,主として１・２回生
424,火4,共南01,主として１・２回生
425,火4,共北23(CALL),１回生
426,火4,共西12,１回生
427,火4,4共10,１回生
428,火4,共北36,１回生
429,火4,共西23,全回生
430,火4,教育院棟演習室21,１回生
431,火4,共西11,１回生
432,火4,教育院棟演習室22,１回生
433,火4,教育院棟演習室24,１回生
434,火4,1共21,１回生
435,火4,共北3D,１回生
436,火4,共北34,１回生
437,火4,1共22,１回生
438,火4,共北21(CALL),２回生以上
439,火4,1共01,全回生
440,火4,共東21,全回生
441,火4,共東12,全回生
442,火4,1共24(CALL),全回生
443,火4,共北11,全回生
444,火4,情報メ301(CALL),全回生
445,火4,共西01,全回生
446,火4,4共32,２回生以上
447,火4,1共02,２回生以上
448,火4,情報メ302(CALL),２回生以上
449,火4,共西02,２回生以上
450,火4,1共33,２回生以上
451,火4,共東11,２回生以上
452,火4,共西03,２回生以上
453,火4・火5・金4・金5,火：第2講義室　金：第6講義室,全回生
454,火4,情報メ203(情報処理室),全回生
455,火4・火5,総人1206,全回生
456,火4,共北27,全回生
457,火4,共西32,２回生以上
458,火5,教育院棟講義室31,全回生
459,火5,教育院棟演習室24,全回生
460,火5,吉田南総合館4階428号室(太田研究室),全回生
461,火5,共南11,全回生
462,火5,1共31,全回生
463,火5,4共30,全回生
464,火5,共北3B,全回生
465,火5,共北31,主として１回生
466,火5,共東12,主として１・２回生
467,火5,共南01,全回生
468,火5,情報メ203(情報処理室),全回生
469,火5,共北34,主として１・２回生
470,火5,共北11,主として１・２回生
471,火5,共北24(CALL),全回生
472,火5,共北23(CALL),２回生以上
473,火5,共東21,全回生
474,火5,共東22(CALL),全回生
475,火5,1共33,全回生
476,火5,共東11,全回生
477,火5,情報メ301(CALL),全回生
478,火5,総人1305(CALL),全回生
479,火5,1共03,全回生
480,火5,共西01,全回生
481,火5,共西03,全回生
482,火5,共西21,全回生
483,火5,4共13,２回生以上
484,火5,共東42,２回生以上
485,火5,共西23,２回生以上
486,火5,4共41,２回生以上
487,火5,吉田国際交流会館南講義室4,全回生
488,水1,共西03,主として１・２回生
489,水1,共西31,全回生
490,水1,総合研究2号館第10演習室,全回生
491,水1,教育院棟講義室31,全回生
492,水1,情報メ地下講義室,全回生
493,水1,総合研究4号館2階共通3講義室,全回生
494,水1,共北34,主として１・２回生
495,水1・木1,1共03,主として１回生
496,水1・金3,共東32,主として１回生
497,水1・木2,共東32,主として１回生
498,水1,共南11,主として２回生
499,水1,理学部6号館201講義室,主として１・２回生
500,水1,理学部6号館303講義室,主として１・２回生
501,水1,理学部6号館305号室,主として１・２回生
502,水1,情報メ203(情報処理室),全回生
503,水1,医学部人間健康科学科第6講義室,１回生
504,水1,共西12,１回生
505,水1,4共20,１回生
506,水1,教育院棟演習室23,１回生
507,水1,4共10,２回生以上
508,水2,総合研究2号館第10演習室,全回生
509,水2,共南01,全回生
510,水2,教育院棟演習室21,全回生
511,水2,共北37,全回生
512,水2,共北3C,２回生以上
513,水2,教育院棟講義室32,全回生
514,水2,4共31,全回生
515,水2,共北33,全回生
516,水2,共北38,全回生
517,水2,1共23,全回生
518,水2,人環437,全回生
519,水2,教育院棟講義室31,全回生
520,水2,共北34,主として１・２回生
521,水2,教育院棟演習室22,主として１・２回生
522,水2,共北12,主として１・２回生
523,水2,4共24,全回生
524,水2,共北31,全回生
525,水2,共北24(CALL),２回生以上
526,水2,1共32,２回生以上
527,水2,共東12,２回生以上
528,水2,情報メ地下講義室,主として２回生
529,水2,共東21,主として２回生
530,水2・金3,共東32,主として１回生
531,水2・木1,1共03,主として１回生
532,水2・木2,共東32,主として１回生
533,水2,共西02,主として１・２回生
534,水2,共東42,主として１回生
535,水2,共北25,１回生
536,水2,共西42,主として１・２回生
537,水2,共南11,主として２回生
538,水2,共西11,主として１・２回生
539,水2,共東11,主として１回生
540,水2,共北32,主として１回生
541,水2,共北27,主として１回生
542,水2,共西31,主として１回生
543,水2,共北26,主として１・２回生
544,水2,共北28,主として１・２回生
545,水2,理学部6号館305室,２回生以上
546,水2,4共11,主として２回生
547,水2,共北35,主として１・２回生
548,水2,共北11,主として２回生
549,水2,1共25(LL),２回生以上
550,水2,共北3A,１回生
551,水2,共西12,１回生
552,水2,共北36,１回生
553,水2,医学部人間健康科学科第6講義室,１回生
554,水2,共西23,１回生
555,水2,4共20,１回生
556,水2,教育院棟演習室24,１回生
557,水2,1共01,２回生以上
558,水2,共北3D,２回生以上
559,水2,共西22,２回生以上
560,水2,共西21,２回生以上
561,水2,吉田国際交流会館南講義室4,全回生
562,水2,吉田国際交流会館南講義室6,全回生
563,水2,4共32,全回生
564,水2,教育院棟演習室23,２回生以上
565,水3,人環333,全回生
566,水3,共西23,主として１・２回生
567,水3,吉田国際交流会館南講義室3,全回生
568,水3,4共11,全回生
569,水3,共北31,全回生
570,水3,法経本館第四教室,全回生
571,水3,4共20,２回生以上
572,水3,共北36,２回生以上
573,水3,1共32,２回生以上
574,水3,共西41,主として１回生
